min_mismatch_bin	n_primers	percent_primers
0	1435	58.475957620211894
1	147	5.990220048899755
2	50	2.037489812550937
3	10	0.40749796251018744
4	1	0.040749796251018745
5	0	0.0
>5	0	0.0
no_full_length_no_gap	811	33.0480847595762
